NPI,SERVICE_AREA_STATE,COUNTY,ISSUERID,SERVICEAREAID,SERVICE_AREA_ZIP,SPECIALTY,SERVICE_AREA_COVERAGE_PROVIDER_COUNT,MULTI_PROVIDER_AREA_FLAG,PROVIDER_COVERAGE_SHARE,SERVICE_AREA_PROVIDER_DENSITY_SCORE,SERVICE_AREA_ACCESS_LEVEL
1800000124,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000125,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000126,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000127,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000128,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000129,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000130,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000131,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000132,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000133,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000134,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000135,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000136,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000137,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000138,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000139,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000140,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000141,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000142,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000143,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000144,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000145,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000146,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000147,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000148,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000149,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000150,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000151,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000152,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000153,MI,Oakland,MI29698,MI26125-CAR,48350,Cardiology,24,1,0.041667,31.37,CRITICAL COVERAGE
1800000154,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000155,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000156,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000157,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000158,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000159,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000160,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000161,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000162,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000163,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000164,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000165,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000166,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000167,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000168,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000169,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000170,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000171,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000172,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000173,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000174,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000175,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000176,MI,Oakland,MI29698,MI26125-END,48350,Endocrinology,23,1,0.043478,27.88,CRITICAL COVERAGE
1800000177,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000178,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000179,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000180,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000181,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000182,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000183,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000184,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000185,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000186,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000187,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000188,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000189,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000190,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000191,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000192,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000193,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000194,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000195,MI,Oakland,MI29698,MI26125-PSY,48350,Psychiatry,19,1,0.052632,13.45,CRITICAL COVERAGE
1800000196,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000197,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000198,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000199,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000200,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000201,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000202,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000203,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000204,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000205,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000206,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000207,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000208,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000209,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000210,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000211,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000212,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000213,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000214,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000215,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000216,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000217,MI,Oakland,MI29698,MI26125-PUL,48350,Pulmonary,22,1,0.045455,22.82,CRITICAL COVERAGE
1800000218,MI,Oakland,MI29698,MI26125-RHE,48350,Rheumatology,21,1,0.047619,17.97,CRITICAL COVERAGE
