COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,DISEASE,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,ACCESS_GAP_LEVEL,UC05_KEY,COUNTY_NAME
37183,North Carolina,Endocrinology,Diabetes,22583,1,889,1926.9,22583.0,18070.0,22988.768287,HIGH GAP,37183|Endocrinology,Wake County
37081,North Carolina,Rheumatology,Arthritis,8401,1,532,1107.3,8401.0,10453.0,13315.598761,MODERATE GAP,37081|Rheumatology,Guilford County
37119,North Carolina,Rheumatology,Arthritis,8087,1,485,1040.8,8087.0,10453.0,13315.598761,MODERATE GAP,37119|Rheumatology,Mecklenburg County
37183,North Carolina,Psychiatry,Mental Health Disorders,18820,1,445,1126.5,18820.0,3104.5,4291.159571,CRITICAL GAP,37183|Psychiatry,Wake County
48085,Texas,Pulmonary,Respiratory Disease,2068,2,954,2626.6,1034.0,4251.578947,5741.879972,LOW GAP,48085|Pulmonary,Collin County
26099,Michigan,Rheumatology,Arthritis,290237,4,1501,5736.4,72559.25,10453.0,13315.598761,CRITICAL GAP,26099|Rheumatology,Macomb County
26163,Michigan,Rheumatology,Arthritis,12881,2,117,426.5,6440.5,10453.0,13315.598761,MODERATE GAP,26163|Rheumatology,Wayne County
37183,North Carolina,Psychiatry,Mental Health Disorders,1434,1,593,1805.6,1434.0,3104.5,4291.159571,LOW GAP,37183|Psychiatry,Wake County
48439,Texas,Endocrinology,Diabetes,31630,1,753,3224.7,31630.0,18070.0,22988.768287,HIGH GAP,48439|Endocrinology,Tarrant County
37081,North Carolina,Psychiatry,Mental Health Disorders,2375,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,37081|Psychiatry,Guilford County
48201,Texas,Cardiology,Heart Disease,51672,5,3747,10604.9,10334.4,10823.136364,15071.056217,MODERATE GAP,48201|Cardiology,Harris County
37119,North Carolina,Psychiatry,Mental Health Disorders,33784,1,840,1902.0,33784.0,3104.5,4291.159571,CRITICAL GAP,37119|Psychiatry,Mecklenburg County
26099,Michigan,Psychiatry,Mental Health Disorders,2890,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26099|Psychiatry,Macomb County
48029,Texas,Cardiology,Heart Disease,20360,2,509,981.9,10180.0,10823.136364,15071.056217,MODERATE GAP,48029|Cardiology,Bexar County
37119,North Carolina,Psychiatry,Mental Health Disorders,7993,2,1193,4125.3,3996.5,3104.5,4291.159571,HIGH GAP,37119|Psychiatry,Mecklenburg County
48029,Texas,Cardiology,Heart Disease,59424,3,2698,9435.1,19808.0,10823.136364,15071.056217,HIGH GAP,48029|Cardiology,Bexar County
37081,North Carolina,Endocrinology,Diabetes,1294,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37081|Endocrinology,Guilford County
48029,Texas,Pulmonary,Respiratory Disease,44515,1,583,1445.1,44515.0,4251.578947,5741.879972,CRITICAL GAP,48029|Pulmonary,Bexar County
48085,Texas,Endocrinology,Diabetes,25776,1,405,751.4,25776.0,18070.0,22988.768287,HIGH GAP,48085|Endocrinology,Collin County
26049,Michigan,Psychiatry,Mental Health Disorders,2855,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26049|Psychiatry,Genesee County
37081,North Carolina,Rheumatology,Arthritis,1478,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37081|Rheumatology,Guilford County
37067,North Carolina,Psychiatry,Mental Health Disorders,15015,3,2065,4274.9,5005.0,3104.5,4291.159571,HIGH GAP,37067|Psychiatry,Forsyth County
37067,North Carolina,Rheumatology,Arthritis,1754,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37067|Rheumatology,Forsyth County
48085,Texas,Cardiology,Heart Disease,5834,1,226,543.8,5834.0,10823.136364,15071.056217,MODERATE GAP,48085|Cardiology,Collin County
26163,Michigan,Rheumatology,Arthritis,4982,1,748,2472.3,4982.0,10453.0,13315.598761,LOW GAP,26163|Rheumatology,Wayne County
48201,Texas,Endocrinology,Diabetes,8626,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,48201|Endocrinology,Harris County
37051,North Carolina,Cardiology,Heart Disease,1524,2,284,534.1,762.0,10823.136364,15071.056217,LOW GAP,37051|Cardiology,Cumberland County
37067,North Carolina,Cardiology,Heart Disease,778,0,0,0.0,0.0,10823.136364,15071.056217,NO PROVIDER,37067|Cardiology,Forsyth County
37081,North Carolina,Rheumatology,Arthritis,3449,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37081|Rheumatology,Guilford County
26163,Michigan,Psychiatry,Mental Health Disorders,928,1,597,2378.3,928.0,3104.5,4291.159571,LOW GAP,26163|Psychiatry,Wayne County
26099,Michigan,Pulmonary,Respiratory Disease,1728,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,26099|Pulmonary,Macomb County
48439,Texas,Pulmonary,Respiratory Disease,2248,2,585,1465.5,1124.0,4251.578947,5741.879972,LOW GAP,48439|Pulmonary,Tarrant County
37119,North Carolina,Rheumatology,Arthritis,5188,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37119|Rheumatology,Mecklenburg County
26099,Michigan,Rheumatology,Arthritis,16892,1,878,2372.5,16892.0,10453.0,13315.598761,HIGH GAP,26099|Rheumatology,Macomb County
37081,North Carolina,Rheumatology,Arthritis,52855,4,1594,3904.3,13213.75,10453.0,13315.598761,HIGH GAP,37081|Rheumatology,Guilford County
37119,North Carolina,Endocrinology,Diabetes,63452,2,449,1284.5,31726.0,18070.0,22988.768287,HIGH GAP,37119|Endocrinology,Mecklenburg County
37119,North Carolina,Endocrinology,Diabetes,3855,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37119|Endocrinology,Mecklenburg County
37081,North Carolina,Rheumatology,Arthritis,2622,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37081|Rheumatology,Guilford County
26049,Michigan,Psychiatry,Mental Health Disorders,2259,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26049|Psychiatry,Genesee County
26125,Michigan,Pulmonary,Respiratory Disease,6087,1,514,887.1,6087.0,4251.578947,5741.879972,HIGH GAP,26125|Pulmonary,Oakland County
26049,Michigan,Pulmonary,Respiratory Disease,11834,2,1526,4856.0,5917.0,4251.578947,5741.879972,HIGH GAP,26049|Pulmonary,Genesee County
37119,North Carolina,Psychiatry,Mental Health Disorders,7036,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,37119|Psychiatry,Mecklenburg County
26077,Michigan,Pulmonary,Respiratory Disease,197,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,26077|Pulmonary,Kalamazoo County
48085,Texas,Cardiology,Heart Disease,18055,1,775,1971.7,18055.0,10823.136364,15071.056217,HIGH GAP,48085|Cardiology,Collin County
26077,Michigan,Pulmonary,Respiratory Disease,74212,3,1037,3911.7,24737.3333,4251.578947,5741.879972,CRITICAL GAP,26077|Pulmonary,Kalamazoo County
37183,North Carolina,Endocrinology,Diabetes,4777,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37183|Endocrinology,Wake County
48113,Texas,Pulmonary,Respiratory Disease,2378,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,48113|Pulmonary,Dallas County
26049,Michigan,Psychiatry,Mental Health Disorders,3079,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26049|Psychiatry,Genesee County
37051,North Carolina,Rheumatology,Arthritis,2351,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37051|Rheumatology,Cumberland County
37051,North Carolina,Cardiology,Heart Disease,482,0,0,0.0,0.0,10823.136364,15071.056217,NO PROVIDER,37051|Cardiology,Cumberland County
48085,Texas,Cardiology,Heart Disease,3690,1,255,629.2,3690.0,10823.136364,15071.056217,LOW GAP,48085|Cardiology,Collin County
48201,Texas,Pulmonary,Respiratory Disease,2280,7,3438,13510.7,325.7143,4251.578947,5741.879972,LOW GAP,48201|Pulmonary,Harris County
48085,Texas,Endocrinology,Diabetes,184156,4,730,2266.4,46039.0,18070.0,22988.768287,CRITICAL GAP,48085|Endocrinology,Collin County
48439,Texas,Cardiology,Heart Disease,14802,1,896,3419.4,14802.0,10823.136364,15071.056217,HIGH GAP,48439|Cardiology,Tarrant County
37119,North Carolina,Rheumatology,Arthritis,6991,1,275,637.7,6991.0,10453.0,13315.598761,MODERATE GAP,37119|Rheumatology,Mecklenburg County
37051,North Carolina,Rheumatology,Arthritis,36563,3,725,2004.7,12187.6667,10453.0,13315.598761,HIGH GAP,37051|Rheumatology,Cumberland County
26125,Michigan,Psychiatry,Mental Health Disorders,6594,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26125|Psychiatry,Oakland County
48085,Texas,Pulmonary,Respiratory Disease,42159,2,143,301.2,21079.5,4251.578947,5741.879972,CRITICAL GAP,48085|Pulmonary,Collin County
37119,North Carolina,Endocrinology,Diabetes,3907,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37119|Endocrinology,Mecklenburg County
48029,Texas,Endocrinology,Diabetes,83909,4,2307,9917.1,20977.25,18070.0,22988.768287,HIGH GAP,48029|Endocrinology,Bexar County
37051,North Carolina,Cardiology,Heart Disease,111549,1,649,1264.0,111549.0,10823.136364,15071.056217,CRITICAL GAP,37051|Cardiology,Cumberland County
26163,Michigan,Psychiatry,Mental Health Disorders,5660,2,1141,4290.3,2830.0,3104.5,4291.159571,MODERATE GAP,26163|Psychiatry,Wayne County
48439,Texas,Endocrinology,Diabetes,12742,2,145,540.9,6371.0,18070.0,22988.768287,LOW GAP,48439|Endocrinology,Tarrant County
37119,North Carolina,Psychiatry,Mental Health Disorders,4263,1,145,269.6,4263.0,3104.5,4291.159571,HIGH GAP,37119|Psychiatry,Mecklenburg County
26125,Michigan,Psychiatry,Mental Health Disorders,929,3,1714,6303.9,309.6667,3104.5,4291.159571,LOW GAP,26125|Psychiatry,Oakland County
26099,Michigan,Pulmonary,Respiratory Disease,24966,3,480,1249.5,8322.0,4251.578947,5741.879972,HIGH GAP,26099|Pulmonary,Macomb County
26125,Michigan,Rheumatology,Arthritis,4862,1,524,1533.5,4862.0,10453.0,13315.598761,LOW GAP,26125|Rheumatology,Oakland County
37067,North Carolina,Endocrinology,Diabetes,34201,2,1059,2993.2,17100.5,18070.0,22988.768287,MODERATE GAP,37067|Endocrinology,Forsyth County
26049,Michigan,Psychiatry,Mental Health Disorders,4006,2,621,1300.7,2003.0,3104.5,4291.159571,MODERATE GAP,26049|Psychiatry,Genesee County
26099,Michigan,Pulmonary,Respiratory Disease,2661,1,670,1138.4,2661.0,4251.578947,5741.879972,MODERATE GAP,26099|Pulmonary,Macomb County
37081,North Carolina,Cardiology,Heart Disease,76279,1,295,656.1,76279.0,10823.136364,15071.056217,CRITICAL GAP,37081|Cardiology,Guilford County
26163,Michigan,Psychiatry,Mental Health Disorders,998,1,154,542.8,998.0,3104.5,4291.159571,LOW GAP,26163|Psychiatry,Wayne County
48201,Texas,Pulmonary,Respiratory Disease,3496,3,2361,10616.2,1165.3333,4251.578947,5741.879972,LOW GAP,48201|Pulmonary,Harris County
48029,Texas,Endocrinology,Diabetes,16046,2,1594,2850.5,8023.0,18070.0,22988.768287,LOW GAP,48029|Endocrinology,Bexar County
37067,North Carolina,Rheumatology,Arthritis,170679,2,129,299.6,85339.5,10453.0,13315.598761,CRITICAL GAP,37067|Rheumatology,Forsyth County
37051,North Carolina,Rheumatology,Arthritis,2047,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37051|Rheumatology,Cumberland County
26099,Michigan,Pulmonary,Respiratory Disease,4580,1,213,340.6,4580.0,4251.578947,5741.879972,HIGH GAP,26099|Pulmonary,Macomb County
48201,Texas,Cardiology,Heart Disease,217248,3,205,815.7,72416.0,10823.136364,15071.056217,CRITICAL GAP,48201|Cardiology,Harris County
48439,Texas,Pulmonary,Respiratory Disease,2378,1,563,1259.3,2378.0,4251.578947,5741.879972,MODERATE GAP,48439|Pulmonary,Tarrant County
37081,North Carolina,Cardiology,Heart Disease,9580,1,61,184.8,9580.0,10823.136364,15071.056217,MODERATE GAP,37081|Cardiology,Guilford County
37119,North Carolina,Rheumatology,Arthritis,6647,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37119|Rheumatology,Mecklenburg County
37081,North Carolina,Cardiology,Heart Disease,947,0,0,0.0,0.0,10823.136364,15071.056217,NO PROVIDER,37081|Cardiology,Guilford County
48113,Texas,Cardiology,Heart Disease,4705,0,0,0.0,0.0,10823.136364,15071.056217,NO PROVIDER,48113|Cardiology,Dallas County
26099,Michigan,Psychiatry,Mental Health Disorders,1319,2,485,1917.9,659.5,3104.5,4291.159571,LOW GAP,26099|Psychiatry,Macomb County
37183,North Carolina,Rheumatology,Arthritis,2995,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,37183|Rheumatology,Wake County
48439,Texas,Cardiology,Heart Disease,1662,1,319,513.0,1662.0,10823.136364,15071.056217,LOW GAP,48439|Cardiology,Tarrant County
48113,Texas,Pulmonary,Respiratory Disease,4268,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,48113|Pulmonary,Dallas County
48085,Texas,Endocrinology,Diabetes,2163,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,48085|Endocrinology,Collin County
48201,Texas,Endocrinology,Diabetes,1144584,7,972,4094.0,163512.0,18070.0,22988.768287,CRITICAL GAP,48201|Endocrinology,Harris County
26163,Michigan,Rheumatology,Arthritis,50272,1,891,3125.9,50272.0,10453.0,13315.598761,CRITICAL GAP,26163|Rheumatology,Wayne County
48201,Texas,Cardiology,Heart Disease,13598,4,3459,10193.4,3399.5,10823.136364,15071.056217,LOW GAP,48201|Cardiology,Harris County
37051,North Carolina,Endocrinology,Diabetes,1547,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37051|Endocrinology,Cumberland County
26099,Michigan,Psychiatry,Mental Health Disorders,58711,2,347,1558.4,29355.5,3104.5,4291.159571,CRITICAL GAP,26099|Psychiatry,Macomb County
37067,North Carolina,Psychiatry,Mental Health Disorders,3017,1,896,2137.1,3017.0,3104.5,4291.159571,MODERATE GAP,37067|Psychiatry,Forsyth County
26163,Michigan,Rheumatology,Arthritis,32564,1,480,1789.7,32564.0,10453.0,13315.598761,CRITICAL GAP,26163|Rheumatology,Wayne County
37067,North Carolina,Cardiology,Heart Disease,18986,2,1431,3032.0,9493.0,10823.136364,15071.056217,MODERATE GAP,37067|Cardiology,Forsyth County
26049,Michigan,Rheumatology,Arthritis,37930,2,1436,5191.8,18965.0,10453.0,13315.598761,HIGH GAP,26049|Rheumatology,Genesee County
48085,Texas,Pulmonary,Respiratory Disease,8166,1,895,3410.2,8166.0,4251.578947,5741.879972,HIGH GAP,48085|Pulmonary,Collin County
37119,North Carolina,Endocrinology,Diabetes,2091,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37119|Endocrinology,Mecklenburg County
48201,Texas,Pulmonary,Respiratory Disease,9682,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,48201|Pulmonary,Harris County
37081,North Carolina,Psychiatry,Mental Health Disorders,2473,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,37081|Psychiatry,Guilford County
26077,Michigan,Pulmonary,Respiratory Disease,6402,4,3145,8505.8,1600.5,4251.578947,5741.879972,LOW GAP,26077|Pulmonary,Kalamazoo County
37051,North Carolina,Rheumatology,Arthritis,16709,2,387,767.6,8354.5,10453.0,13315.598761,MODERATE GAP,37051|Rheumatology,Cumberland County
37067,North Carolina,Endocrinology,Diabetes,2134,1,809,1301.6,2134.0,18070.0,22988.768287,LOW GAP,37067|Endocrinology,Forsyth County
48201,Texas,Cardiology,Heart Disease,12544,0,0,0.0,0.0,10823.136364,15071.056217,NO PROVIDER,48201|Cardiology,Harris County
37067,North Carolina,Cardiology,Heart Disease,322608,3,2187,7640.8,107536.0,10823.136364,15071.056217,CRITICAL GAP,37067|Cardiology,Forsyth County
26125,Michigan,Psychiatry,Mental Health Disorders,4535,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26125|Psychiatry,Oakland County
26049,Michigan,Rheumatology,Arthritis,280323,4,1054,3516.5,70080.75,10453.0,13315.598761,CRITICAL GAP,26049|Rheumatology,Genesee County
37051,North Carolina,Endocrinology,Diabetes,1153,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37051|Endocrinology,Cumberland County
26125,Michigan,Psychiatry,Mental Health Disorders,5932,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26125|Psychiatry,Oakland County
48085,Texas,Pulmonary,Respiratory Disease,5412,2,693,2529.6,2706.0,4251.578947,5741.879972,MODERATE GAP,48085|Pulmonary,Collin County
26049,Michigan,Rheumatology,Arthritis,24826,2,916,2950.7,12413.0,10453.0,13315.598761,HIGH GAP,26049|Rheumatology,Genesee County
26163,Michigan,Rheumatology,Arthritis,16874,1,644,1994.8,16874.0,10453.0,13315.598761,HIGH GAP,26163|Rheumatology,Wayne County
26163,Michigan,Psychiatry,Mental Health Disorders,5554,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26163|Psychiatry,Wayne County
26077,Michigan,Psychiatry,Mental Health Disorders,3730,1,808,2534.6,3730.0,3104.5,4291.159571,HIGH GAP,26077|Psychiatry,Kalamazoo County
48201,Texas,Cardiology,Heart Disease,258477,3,2149,7506.3,86159.0,10823.136364,15071.056217,CRITICAL GAP,48201|Cardiology,Harris County
48113,Texas,Pulmonary,Respiratory Disease,5226,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,48113|Pulmonary,Dallas County
48085,Texas,Endocrinology,Diabetes,11910,1,293,1287.2,11910.0,18070.0,22988.768287,MODERATE GAP,48085|Endocrinology,Collin County
37119,North Carolina,Psychiatry,Mental Health Disorders,2253,2,1389,6091.5,1126.5,3104.5,4291.159571,LOW GAP,37119|Psychiatry,Mecklenburg County
26125,Michigan,Rheumatology,Arthritis,80245,1,763,2838.1,80245.0,10453.0,13315.598761,CRITICAL GAP,26125|Rheumatology,Oakland County
37081,North Carolina,Endocrinology,Diabetes,1151,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37081|Endocrinology,Guilford County
26125,Michigan,Rheumatology,Arthritis,40580,2,1440,2885.5,20290.0,10453.0,13315.598761,HIGH GAP,26125|Rheumatology,Oakland County
48113,Texas,Pulmonary,Respiratory Disease,37201,1,787,2942.0,37201.0,4251.578947,5741.879972,CRITICAL GAP,48113|Pulmonary,Dallas County
37067,North Carolina,Endocrinology,Diabetes,9637,2,1234,3028.5,4818.5,18070.0,22988.768287,LOW GAP,37067|Endocrinology,Forsyth County
37051,North Carolina,Endocrinology,Diabetes,14068,2,783,2871.6,7034.0,18070.0,22988.768287,LOW GAP,37051|Endocrinology,Cumberland County
26125,Michigan,Rheumatology,Arthritis,4405,1,432,1158.1,4405.0,10453.0,13315.598761,LOW GAP,26125|Rheumatology,Oakland County
48085,Texas,Endocrinology,Diabetes,4828,1,885,2939.6,4828.0,18070.0,22988.768287,LOW GAP,48085|Endocrinology,Collin County
37051,North Carolina,Cardiology,Heart Disease,9958,1,653,2937.3,9958.0,10823.136364,15071.056217,MODERATE GAP,37051|Cardiology,Cumberland County
37051,North Carolina,Rheumatology,Arthritis,13857,1,72,109.6,13857.0,10453.0,13315.598761,HIGH GAP,37051|Rheumatology,Cumberland County
48113,Texas,Pulmonary,Respiratory Disease,5692,2,460,814.2,2846.0,4251.578947,5741.879972,MODERATE GAP,48113|Pulmonary,Dallas County
26077,Michigan,Psychiatry,Mental Health Disorders,7549,2,537,2242.3,3774.5,3104.5,4291.159571,HIGH GAP,26077|Psychiatry,Kalamazoo County
37067,North Carolina,Cardiology,Heart Disease,3896,3,727,2187.9,1298.6667,10823.136364,15071.056217,LOW GAP,37067|Cardiology,Forsyth County
26077,Michigan,Rheumatology,Arthritis,1700,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,26077|Rheumatology,Kalamazoo County
26077,Michigan,Psychiatry,Mental Health Disorders,1126,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,26077|Psychiatry,Kalamazoo County
37051,North Carolina,Psychiatry,Mental Health Disorders,1807,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,37051|Psychiatry,Cumberland County
48113,Texas,Endocrinology,Diabetes,223724,2,1004,2070.0,111862.0,18070.0,22988.768287,CRITICAL GAP,48113|Endocrinology,Dallas County
48113,Texas,Endocrinology,Diabetes,7968,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,48113|Endocrinology,Dallas County
37051,North Carolina,Rheumatology,Arthritis,6769,1,585,2259.7,6769.0,10453.0,13315.598761,MODERATE GAP,37051|Rheumatology,Cumberland County
37067,North Carolina,Rheumatology,Arthritis,36376,5,886,2915.4,7275.2,10453.0,13315.598761,MODERATE GAP,37067|Rheumatology,Forsyth County
37119,North Carolina,Psychiatry,Mental Health Disorders,4011,2,572,1487.3,2005.5,3104.5,4291.159571,MODERATE GAP,37119|Psychiatry,Mecklenburg County
37119,North Carolina,Cardiology,Heart Disease,1582,0,0,0.0,0.0,10823.136364,15071.056217,NO PROVIDER,37119|Cardiology,Mecklenburg County
26049,Michigan,Pulmonary,Respiratory Disease,728,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,26049|Pulmonary,Genesee County
48113,Texas,Cardiology,Heart Disease,140953,2,124,271.4,70476.5,10823.136364,15071.056217,CRITICAL GAP,48113|Cardiology,Dallas County
48201,Texas,Cardiology,Heart Disease,3310,1,277,691.0,3310.0,10823.136364,15071.056217,LOW GAP,48201|Cardiology,Harris County
37183,North Carolina,Cardiology,Heart Disease,36676,2,879,1563.2,18338.0,10823.136364,15071.056217,HIGH GAP,37183|Cardiology,Wake County
37119,North Carolina,Rheumatology,Arthritis,101560,1,140,618.8,101560.0,10453.0,13315.598761,CRITICAL GAP,37119|Rheumatology,Mecklenburg County
26049,Michigan,Pulmonary,Respiratory Disease,538,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,26049|Pulmonary,Genesee County
37119,North Carolina,Endocrinology,Diabetes,3111,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37119|Endocrinology,Mecklenburg County
37183,North Carolina,Cardiology,Heart Disease,36495,2,728,2332.0,18247.5,10823.136364,15071.056217,HIGH GAP,37183|Cardiology,Wake County
26163,Michigan,Pulmonary,Respiratory Disease,3797,1,788,1874.4,3797.0,4251.578947,5741.879972,MODERATE GAP,26163|Pulmonary,Wayne County
37081,North Carolina,Psychiatry,Mental Health Disorders,27270,1,836,2459.2,27270.0,3104.5,4291.159571,CRITICAL GAP,37081|Psychiatry,Guilford County
37067,North Carolina,Cardiology,Heart Disease,106477,1,503,1339.8,106477.0,10823.136364,15071.056217,CRITICAL GAP,37067|Cardiology,Forsyth County
48201,Texas,Endocrinology,Diabetes,14153,1,772,1169.0,14153.0,18070.0,22988.768287,MODERATE GAP,48201|Endocrinology,Harris County
37081,North Carolina,Rheumatology,Arthritis,3692,1,162,553.2,3692.0,10453.0,13315.598761,LOW GAP,37081|Rheumatology,Guilford County
26099,Michigan,Rheumatology,Arthritis,77508,1,405,852.7,77508.0,10453.0,13315.598761,CRITICAL GAP,26099|Rheumatology,Macomb County
37067,North Carolina,Endocrinology,Diabetes,14090,1,324,492.9,14090.0,18070.0,22988.768287,MODERATE GAP,37067|Endocrinology,Forsyth County
37183,North Carolina,Rheumatology,Arthritis,3587,1,250,1054.2,3587.0,10453.0,13315.598761,LOW GAP,37183|Rheumatology,Wake County
37067,North Carolina,Cardiology,Heart Disease,669,0,0,0.0,0.0,10823.136364,15071.056217,NO PROVIDER,37067|Cardiology,Forsyth County
37067,North Carolina,Endocrinology,Diabetes,61923,1,478,1680.5,61923.0,18070.0,22988.768287,CRITICAL GAP,37067|Endocrinology,Forsyth County
26099,Michigan,Pulmonary,Respiratory Disease,66823,3,1249,2011.1,22274.3333,4251.578947,5741.879972,CRITICAL GAP,26099|Pulmonary,Macomb County
48439,Texas,Cardiology,Heart Disease,62129,4,712,1454.5,15532.25,10823.136364,15071.056217,HIGH GAP,48439|Cardiology,Tarrant County
48113,Texas,Endocrinology,Diabetes,5406,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,48113|Endocrinology,Dallas County
48201,Texas,Pulmonary,Respiratory Disease,2515,1,99,430.4,2515.0,4251.578947,5741.879972,MODERATE GAP,48201|Pulmonary,Harris County
37183,North Carolina,Cardiology,Heart Disease,17602,1,691,2782.9,17602.0,10823.136364,15071.056217,HIGH GAP,37183|Cardiology,Wake County
48085,Texas,Endocrinology,Diabetes,4151,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,48085|Endocrinology,Collin County
26125,Michigan,Rheumatology,Arthritis,4635,1,439,1528.4,4635.0,10453.0,13315.598761,LOW GAP,26125|Rheumatology,Oakland County
37067,North Carolina,Cardiology,Heart Disease,101648,2,668,1547.2,50824.0,10823.136364,15071.056217,CRITICAL GAP,37067|Cardiology,Forsyth County
